trial_index,arm_name,trial_status,generation_method,val_accuracy,val_f1,val_loss,val_precision,val_recall,lr,dropout_rate,batch_size,embedding_dim
0,0_0,COMPLETED,Sobol,0.8266493488685663,0.6324868077283273,0.7536526362101237,0.6099643717818412,0.6911674129051258,1.2640859588910632e-06,0.0963485389947891,32,5
1,1_0,COMPLETED,Sobol,0.8767589141736867,0.8105898700037737,0.3103846524056443,0.8209694131887071,0.803477534131441,0.0010841134400985,0.4744997983798384,4,20
2,2_0,COMPLETED,Sobol,0.902694666966938,0.8166198693503285,0.2462777907455433,0.8326874679617151,0.807861240205284,0.0007316814628756,0.349536188878119,8,5
3,3_0,COMPLETED,Sobol,0.8804406736566011,0.813904735793134,0.3019869818076408,0.8364526521118548,0.7980369152403438,0.0163074158427156,0.0070487400516867,4,20
4,4_0,COMPLETED,Sobol,0.8905417216270416,0.7969617409638841,0.2761532352956313,0.8062219171296575,0.7889679369880639,8.690910538169413e-05,0.2995679727755487,8,20
5,5_0,COMPLETED,Sobol,0.8121829724715547,0.6700012674590813,0.5987674858650016,0.6580465258241294,0.693985377943128,2.44272633047094e-06,0.1429827152751386,8,5
6,6_0,COMPLETED,Sobol,0.8691065519225927,0.7134300456224253,0.4433557695812649,0.7246370270972076,0.7089174578082803,7.339602232331572e-06,0.0698304995894432,16,20
7,7_0,COMPLETED,Sobol,0.9067523512316484,0.8258982394704585,0.2374422159774343,0.8412608403565326,0.8144061187771342,0.0014749514358618,0.2086300845257938,8,5
8,8_0,COMPLETED,BoTorch,0.9047965661830154,0.8203737973604254,0.2413922165359198,0.8387104618814951,0.808427392601868,0.0019265235847075,0.2569616958572805,8,20
9,9_0,COMPLETED,BoTorch,0.9067577132194448,0.827038122867395,0.2361934972958191,0.8354393716090486,0.8203123406661041,0.0018542752919723,0.2593835115306984,8,5
10,10_0,COMPLETED,BoTorch,0.906402481527952,0.8252032274268616,0.237058102127227,0.836321210782979,0.8160842082021841,0.001148594445754,0.231935432015199,8,5
11,11_0,COMPLETED,BoTorch,0.9059051571598624,0.8239445029975507,0.2376690398714395,0.8375968866805151,0.8163045593284455,0.0012153343142272,0.2272618022577063,8,5
12,12_0,COMPLETED,BoTorch,0.8832927408616755,0.8226527759202601,0.2933275737492732,0.826883796371401,0.8186033227363209,0.001200794632406,0.2129265682393696,4,5
13,13_0,COMPLETED,BoTorch,0.9213438815150534,0.829605317996671,0.2004201425446404,0.8350809678770288,0.8257780391250537,0.0032612608227908,0.181829543229404,16,5
14,14_0,COMPLETED,BoTorch,0.92011303550232,0.8236408847737228,0.2029982334209813,0.8384112964434514,0.8145900722058516,0.0016070426661207,0.2495309983887495,16,5
15,15_0,COMPLETED,BoTorch,0.9313407708451568,0.8258369688086612,0.1738520531190766,0.8341981801844636,0.8184450325334538,0.0024465171032103,0.1947413632340259,32,5
16,16_0,COMPLETED,BoTorch,0.9313426752950944,0.8253080271654696,0.1739880591630935,0.8365218945179542,0.8197152509614108,0.0018213097078272,0.1746267091167384,32,5
17,17_0,COMPLETED,BoTorch,0.930343791302758,0.8205308128945651,0.177284623351362,0.8431204880301492,0.8028508864066332,0.0021778215807562,0.1920438832082552,32,5
18,18_0,COMPLETED,BoTorch,0.9283822078669018,0.8162313833703981,0.1829085310300191,0.8408040656991106,0.7959118099580732,0.0048630005340421,0.1260645266691778,32,5
19,19_0,COMPLETED,BoTorch,0.9306047009442264,0.8271121282112182,0.1756456098622746,0.8240200957886256,0.8315660107968261,0.0017813503721777,0.1053533425967313,32,5
20,20_0,COMPLETED,BoTorch,0.9244923688690996,0.8186578833216336,0.1940719697210524,0.8031742938914213,0.8372781896235987,0.0045787871889804,0.1871938674674691,32,5
21,21_0,COMPLETED,BoTorch,0.9243457262238948,0.8108138142713225,0.191105073193709,0.8370755829707289,0.7895580667494088,0.0031007603448649,0.1229895432606838,32,5
22,22_0,COMPLETED,BoTorch,0.9308360916116598,0.8236620183526556,0.1748419620924526,0.8340654809457076,0.8173892098544586,0.0010439568301587,0.1364147945566828,32,5
23,23_0,COMPLETED,BoTorch,0.9310227277055568,0.8227419792299915,0.1745908257034089,0.838990528149032,0.8098420658261182,0.0014283846153603,0.1388282767282289,32,5
24,24_0,COMPLETED,BoTorch,0.9314674167660156,0.8285573348791658,0.1745400228434138,0.8227001210610693,0.8346334486384004,0.0077166299129973,0.0388239367596128,32,5
25,25_0,COMPLETED,BoTorch,0.931803552180024,0.8267373417793955,0.1725870327817069,0.8350446355556529,0.8226712250266831,0.0063171767568006,0.0640648483587907,32,5
26,26_0,COMPLETED,BoTorch,0.9279956045295438,0.8169588543654829,0.1818443020184834,0.8374806411359698,0.799061357228739,0.0009988292505534,0.1780617931209895,32,5
27,27_0,COMPLETED,BoTorch,0.930226667631588,0.8200367206938769,0.1769486164053281,0.8427830608320995,0.8022395357799978,0.0010166300110057,0.0853896740313182,32,5
28,28_0,COMPLETED,BoTorch,0.932245384565576,0.8282201422281171,0.1715945985582139,0.834371525807363,0.8233099938635918,0.0016940746271366,0.1433712770222343,32,5
29,29_0,COMPLETED,BoTorch,0.928285080920078,0.8258638528645585,0.1811265655689769,0.8162817739396777,0.8387096050280195,0.0067458309863625,0.0567401824712271,32,5
30,30_0,COMPLETED,BoTorch,0.9308779895102898,0.8237614452653329,0.1761678122811847,0.83797738835848,0.8121224786756921,0.0057801512072057,0.0866229087022862,32,5
31,31_0,COMPLETED,BoTorch,0.9313417230701256,0.8240923962839499,0.173852065205574,0.8389103601585387,0.8145811704529818,0.0026502214186557,0.218267399884981,32,5
32,32_0,COMPLETED,BoTorch,0.928505997112854,0.8102070220034522,0.1808099995056788,0.84635891672301,0.7909881788081364,0.0066401836327568,0.0155177017804901,32,5
33,33_0,COMPLETED,BoTorch,0.929611530301703,0.8108101787541823,0.178682438035806,0.8528561629257854,0.7875119442617494,0.0030812806355712,0.0737804738534934,32,5
34,34_0,COMPLETED,BoTorch,0.9289097404996516,0.8164007509208422,0.1805583433972464,0.842263900136652,0.7973807021959706,0.0189160965297308,0.0294911678315625,32,5
35,35_0,COMPLETED,BoTorch,0.9285440861116084,0.822365229696287,0.1817103442218568,0.8111016495475477,0.8346200221145366,0.0014128067283552,0.1567227400581169,32,5
36,36_0,COMPLETED,BoTorch,0.925076082775012,0.7944156548992197,0.1894625317719247,0.8578183576902224,0.7616173719630664,0.0059995026654048,0.1463658993560972,32,5
37,37_0,COMPLETED,BoTorch,0.9290944721436108,0.8208314481587297,0.1800074825684229,0.8251116634255827,0.8166975413130036,0.0005414141215725,0.1079738003838517,32,5
